contig	S2753
S2753_000000000009_split_00003	229.90666869671134
S2753_000000000009_split_00004	232.2858467997852
S2753_000000000009_split_00005	223.5208485024999
S2753_000000000009_split_00006	226.37080018243552
S2753_000000000009_split_00007	232.74405667554203
S2753_000000000009_split_00008	228.1615595997304
S2753_000000000009_split_00009	224.3292507204611
S2753_000000000009_split_00010	225.46307573073517
S2753_000000000010_split_00001	232.5121614151465
S2753_000000000010_split_00002	227.46251212639166
S2753_000000000010_split_00003	217.38968852686628
S2753_000000000010_split_00004	223.29004432159368
S2753_000000000010_split_00005	227.53575784955953
S2753_000000000010_split_00006	220.36233543216943
S2753_000000000010_split_00007	226.0960944595822
S2753_000000000010_split_00008	215.6565967639439
S2753_000000000010_split_00009	227.42424101105254
S2753_000000000011_split_00001	217.51204067483243
S2753_000000000011_split_00002	229.53203220297632
S2753_000000000011_split_00003	221.29867837205973
S2753_000000000011_split_00004	220.12354644264084
S2753_000000000011_split_00005	217.62365493757093
S2753_000000000011_split_00006	221.82111998505442
S2753_000000000011_split_00007	230.80510121841368
S2753_000000000012_split_00001	227.6318944240165
S2753_000000000012_split_00002	223.10718719823424
S2753_000000000012_split_00003	231.28203402864557
S2753_000000000012_split_00004	226.0251216685979
S2753_000000000012_split_00005	223.0152087373686
S2753_000000000012_split_00006	226.2571074834923
S2753_000000000012_split_00007	227.15563028534692
S2753_000000000013_split_00001	225.98051330798478
S2753_000000000013_split_00002	226.3008485812782
S2753_000000000013_split_00003	225.91574106213122
S2753_000000000013_split_00004	225.69044623385338
S2753_000000000013_split_00005	222.6399058577406
S2753_000000000013_split_00006	225.58556602544618
S2753_000000000014_split_00001	216.2784781425721
S2753_000000000014_split_00002	220.2072911248759
S2753_000000000014_split_00003	226.87290276023813
S2753_000000000014_split_00004	222.66933876811595
S2753_000000000014_split_00005	230.38387052151057
S2753_000000000015_split_00001	218.61965601965602
S2753_000000000015_split_00002	220.79320282222002
S2753_000000000015_split_00003	222.94347171232232
S2753_000000000015_split_00004	219.12809667673716
S2753_000000000015_split_00005	226.81759465478842
S2753_000000000016_split_00001	224.06346031457406
